epoch,batch,all,hit
10,6400,1.765979,0.3906
10,12800,1.716614,0.4062
10,19200,1.740205,0.3906
10,25600,1.643705,0.4219
10,32000,1.810772,0.3281
10,38400,1.786519,0.3125
10,44800,1.863575,0.3594
10,51200,1.729362,0.3594
10,57600,1.622763,0.4219
10,64000,1.909120,0.3438
10,70400,1.805410,0.3594
10,76800,1.888413,0.3125
10,83200,1.624963,0.4219
10,89600,1.687884,0.5312
10,96000,1.872020,0.3125
10,102400,1.993479,0.3594
10,108800,1.720933,0.4531
10,115200,1.675302,0.3750
10,121600,1.475656,0.4844
10,128000,1.607671,0.3906
10,134400,1.738942,0.3750
10,140800,1.684975,0.4844
10,147200,1.749252,0.3906
10,153600,1.762364,0.4531
10,160000,1.906062,0.3594
10,166400,1.473622,0.5156
10,172800,1.896031,0.3750
10,179200,1.738151,0.3438
10,185600,2.032385,0.3594
10,192000,1.658554,0.3750
10,198400,1.787724,0.4219
10,204800,1.694301,0.4531
10,211200,1.704034,0.4531
11,0,1.839425,0.3594
11,6400,1.856567,0.4219
11,12800,1.669395,0.3906
11,19200,1.642740,0.4219
11,25600,1.762370,0.4531
11,32000,1.644489,0.3906
11,38400,1.652443,0.3750
11,44800,1.754188,0.3750
11,51200,1.813370,0.2969
11,57600,1.588663,0.4688
11,64000,1.682350,0.3281
11,70400,1.608341,0.3906
11,76800,1.836495,0.3594
11,83200,1.648842,0.4531
11,89600,1.847951,0.3281
11,96000,1.781977,0.3906
11,102400,1.852639,0.3281
11,108800,1.971212,0.2500
11,115200,1.902340,0.3438
11,121600,1.744060,0.3906
11,128000,1.810351,0.3906
11,134400,1.818517,0.3281
11,140800,1.866549,0.3906
11,147200,1.593138,0.4219
11,153600,1.883901,0.3750
11,160000,1.741184,0.3750
11,166400,1.785862,0.3438
11,172800,1.561963,0.4531
11,179200,1.903368,0.3750
11,185600,1.842929,0.3750
11,192000,1.834932,0.3750
11,198400,1.857249,0.3281
11,204800,1.693948,0.4062
11,211200,1.683971,0.3594
12,0,1.631457,0.3906
12,6400,1.800415,0.3594
12,12800,1.681778,0.3438
12,19200,1.573759,0.4219
12,25600,1.829460,0.2812
12,32000,1.791105,0.3906
12,38400,1.650801,0.3750
