epoch,batch,all,hit
15,102400,0.167867,0.9531
15,108800,0.179477,0.9219
15,115200,0.256931,0.9062
15,121600,0.351880,0.8750
15,128000,0.242363,0.9062
15,134400,0.289960,0.8594
15,140800,0.199266,0.9062
15,147200,0.117820,0.8906
15,153600,0.170380,0.9062
15,160000,0.272087,0.8750
15,166400,0.380174,0.8750
15,172800,0.222724,0.9219
15,179200,0.256573,0.9062
15,185600,0.226513,0.9219
15,192000,0.139004,0.9219
15,198400,0.168974,0.9375
15,204800,0.213451,0.9219
15,211200,0.267147,0.8906
16,0,0.116789,0.9531
16,6400,0.185554,0.9062
16,12800,0.348626,0.8438
16,19200,0.425095,0.8281
16,25600,0.293066,0.8906
16,32000,0.261441,0.8906
16,38400,0.103246,0.9531
16,44800,0.338258,0.8594
16,51200,0.237512,0.9375
16,57600,0.217395,0.8906
16,64000,0.234008,0.8750
16,70400,0.306347,0.8594
16,76800,0.236627,0.9219
16,83200,0.322517,0.8594
16,89600,0.275942,0.9375
16,96000,0.169065,0.9219
16,102400,0.139378,0.9531
16,108800,0.174610,0.9219
16,115200,0.232498,0.8906
16,121600,0.258772,0.9062
16,128000,0.270859,0.9062
16,134400,0.265971,0.8594
16,140800,0.195781,0.9219
16,147200,0.132289,0.9219
16,153600,0.180035,0.9375
16,160000,0.185493,0.9219
16,166400,0.377296,0.8438
16,172800,0.224248,0.9062
16,179200,0.144875,0.9375
16,185600,0.194057,0.9531
16,192000,0.173310,0.9531
16,198400,0.177923,0.9219
16,204800,0.144372,0.9375
16,211200,0.180784,0.9375
17,0,0.077144,0.9688
17,6400,0.226668,0.8906
17,12800,0.322741,0.8750
17,19200,0.400227,0.8281
17,25600,0.268958,0.9219
17,32000,0.210673,0.9062
17,38400,0.147432,0.9375
17,44800,0.335668,0.8438
17,51200,0.190475,0.9219
17,57600,0.232734,0.9062
17,64000,0.204030,0.9219
17,70400,0.313072,0.8750
17,76800,0.251894,0.8750
17,83200,0.312256,0.9062
17,89600,0.279969,0.9062
17,96000,0.189726,0.9219
17,102400,0.159121,0.9375
17,108800,0.179217,0.9219
17,115200,0.309947,0.8438
17,121600,0.277698,0.9062
17,128000,0.264791,0.8750
17,134400,0.270382,0.8594
17,140800,0.217383,0.9219
17,147200,0.139117,0.9062
17,153600,0.148680,0.9375
17,160000,0.222725,0.8906
17,166400,0.414614,0.8594
17,172800,0.268315,0.9062
17,179200,0.151337,0.9219
17,185600,0.212224,0.9219
17,192000,0.120579,0.9688
17,198400,0.178822,0.9219
17,204800,0.177418,0.9375
17,211200,0.172240,0.9375
18,0,0.117069,0.9688
18,6400,0.200089,0.9062
18,12800,0.424011,0.8438
18,19200,0.344340,0.8438
18,25600,0.360805,0.8906
18,32000,0.216234,0.8906
18,38400,0.122548,0.9531
18,44800,0.374387,0.8281
18,51200,0.193856,0.9531
18,57600,0.165289,0.8906
18,64000,0.194347,0.9219
18,70400,0.287599,0.8750
18,76800,0.228493,0.9062
18,83200,0.304887,0.8750
18,89600,0.297845,0.8594
18,96000,0.122604,0.9375
18,102400,0.171053,0.9375
18,108800,0.197996,0.9219
18,115200,0.218813,0.9062
18,121600,0.277288,0.8906
18,128000,0.273354,0.9219
18,134400,0.266628,0.8750
18,140800,0.196255,0.9219
18,147200,0.122367,0.9062
18,153600,0.160211,0.9219
18,160000,0.271645,0.8750
18,166400,0.389835,0.8281
18,172800,0.230052,0.9219
18,179200,0.184628,0.8906
18,185600,0.244632,0.9062
18,192000,0.180059,0.9531
18,198400,0.197959,0.9219
18,204800,0.130086,0.9375
18,211200,0.162286,0.9375
19,0,0.079079,0.9844
19,6400,0.263427,0.8906
19,12800,0.316351,0.8750
19,19200,0.344576,0.8594
19,25600,0.307647,0.9062
19,32000,0.238652,0.9062
19,38400,0.077917,0.9688
19,44800,0.345999,0.8438
19,51200,0.252515,0.9375
19,57600,0.166500,0.9062
19,64000,0.184867,0.9062
19,70400,0.287380,0.8906
19,76800,0.234892,0.9062
19,83200,0.321986,0.8750
19,89600,0.285048,0.8906
19,96000,0.209205,0.9219
19,102400,0.232512,0.9219
19,108800,0.209011,0.9062
19,115200,0.250221,0.8906
19,121600,0.311414,0.8594
19,128000,0.270225,0.8906
19,134400,0.250309,0.8750
19,140800,0.152226,0.9375
19,147200,0.121738,0.9219
19,153600,0.147719,0.9219
19,160000,0.230085,0.9062
19,166400,0.375964,0.8281
19,172800,0.130969,0.9375
19,179200,0.177052,0.9219
19,185600,0.207520,0.9219
19,192000,0.174960,0.9531
19,198400,0.221354,0.9062
19,204800,0.140598,0.9375
19,211200,0.186505,0.9062
20,0,0.091466,0.9688
20,6400,0.215715,0.8750
20,12800,0.288300,0.8594
20,19200,0.365448,0.8438
20,25600,0.288551,0.9219
20,32000,0.230397,0.9062
20,38400,0.119784,0.9219
20,44800,0.385854,0.8438
20,51200,0.211703,0.9219
20,57600,0.221913,0.9062
20,64000,0.227013,0.9062
20,70400,0.333480,0.8594
20,76800,0.254097,0.8750
20,83200,0.336882,0.8750
20,89600,0.343328,0.8906
20,96000,0.174266,0.9062
20,102400,0.193885,0.9219
20,108800,0.183229,0.9219
20,115200,0.250700,0.8906
20,121600,0.351316,0.8594
20,128000,0.273258,0.8906
20,134400,0.250293,0.8750
20,140800,0.162382,0.9375
20,147200,0.109986,0.9219
20,153600,0.181353,0.9219
20,160000,0.258720,0.9062
20,166400,0.402895,0.8281
20,172800,0.196104,0.9219
20,179200,0.141268,0.9219
20,185600,0.246410,0.9062
20,192000,0.158713,0.9375
20,198400,0.199132,0.9219
20,204800,0.160205,0.9531
20,211200,0.181270,0.9219
21,0,0.093514,0.9531
21,6400,0.214468,0.9062
21,12800,0.279155,0.8594
21,19200,0.353833,0.8438
21,25600,0.325582,0.8906
21,32000,0.216784,0.9219
21,38400,0.096183,0.9531
21,44800,0.334836,0.8438
21,51200,0.202109,0.9375
21,57600,0.166117,0.9375
21,64000,0.187776,0.9219
21,70400,0.284847,0.8750
21,76800,0.245057,0.9219
21,83200,0.289569,0.8750
21,89600,0.268486,0.9219
21,96000,0.144003,0.9219
21,102400,0.147941,0.9531
21,108800,0.204283,0.9062
21,115200,0.230526,0.9062
21,121600,0.244798,0.9062
21,128000,0.263675,0.9062
21,134400,0.283442,0.8594
21,140800,0.227932,0.9219
21,147200,0.122148,0.9219
21,153600,0.164955,0.9375
21,160000,0.172503,0.9062
21,166400,0.375651,0.8125
21,172800,0.191696,0.9375
21,179200,0.157331,0.9219
21,185600,0.269742,0.8906
21,192000,0.123420,0.9688
21,198400,0.173230,0.9219
21,204800,0.206363,0.9375
21,211200,0.193037,0.9219
22,0,0.093550,0.9531
22,6400,0.190809,0.9062
22,12800,0.300249,0.9062
22,19200,0.338467,0.8438
22,25600,0.309673,0.8906
22,32000,0.238901,0.9219
22,38400,0.111508,0.9531
22,44800,0.306220,0.8750
22,51200,0.167780,0.9531
22,57600,0.139619,0.9219
22,64000,0.218483,0.9062
22,70400,0.244044,0.8750
22,76800,0.234474,0.9219
22,83200,0.371961,0.8594
22,89600,0.290471,0.9062
22,96000,0.168627,0.9062
22,102400,0.170013,0.9375
22,108800,0.161345,0.9219
22,115200,0.234763,0.8906
22,121600,0.323664,0.8750
22,128000,0.282258,0.8906
22,134400,0.265427,0.8594
22,140800,0.195502,0.9062
22,147200,0.146117,0.9062
22,153600,0.133035,0.9688
22,160000,0.347428,0.9062
22,166400,0.380272,0.8281
22,172800,0.168492,0.9062
22,179200,0.189847,0.9219
22,185600,0.229748,0.9531
22,192000,0.140389,0.9844
22,198400,0.247148,0.9219
22,204800,0.165865,0.9531
22,211200,0.177848,0.9219
23,0,0.088826,0.9531
23,6400,0.216895,0.9062
23,12800,0.298659,0.8750
23,19200,0.349579,0.8438
23,25600,0.323812,0.9219
23,32000,0.200966,0.9219
23,38400,0.082639,0.9688
23,44800,0.385262,0.8438
23,51200,0.146891,0.9531
23,57600,0.149032,0.9375
23,64000,0.209826,0.8906
23,70400,0.266560,0.8906
23,76800,0.259629,0.8906
23,83200,0.332640,0.8750
23,89600,0.278228,0.8750
23,96000,0.175731,0.9219
23,102400,0.187602,0.9219
23,108800,0.161698,0.9531
23,115200,0.248721,0.8906
23,121600,0.219900,0.8906
23,128000,0.303012,0.8906
23,134400,0.274206,0.8750
23,140800,0.219164,0.8906
23,147200,0.116538,0.9219
23,153600,0.188045,0.9062
23,160000,0.214693,0.9062
23,166400,0.382835,0.8281
23,172800,0.128393,0.9375
23,179200,0.216531,0.9062
23,185600,0.229369,0.9062
23,192000,0.128303,0.9688
23,198400,0.258213,0.9219
23,204800,0.161016,0.9219
23,211200,0.191057,0.9219
24,0,0.080616,0.9688
24,6400,0.208314,0.8594
24,12800,0.297775,0.8750
24,19200,0.313192,0.8438
24,25600,0.277231,0.8906
24,32000,0.244707,0.9062
24,38400,0.073319,0.9688
24,44800,0.326467,0.8594
24,51200,0.162681,0.9531
24,57600,0.183980,0.8906
24,64000,0.186216,0.9062
24,70400,0.310058,0.8750
24,76800,0.233367,0.8906
24,83200,0.304931,0.8906
24,89600,0.295043,0.9062
24,96000,0.187649,0.9219
24,102400,0.177746,0.9375
24,108800,0.260996,0.9219
24,115200,0.232727,0.8906
24,121600,0.352136,0.9219
24,128000,0.272070,0.9062
24,134400,0.269381,0.8750
24,140800,0.151409,0.9375
24,147200,0.119298,0.9062
24,153600,0.149854,0.9375
24,160000,0.209515,0.9219
24,166400,0.327941,0.8750
24,172800,0.154848,0.9375
24,179200,0.181400,0.8906
24,185600,0.220177,0.9219
24,192000,0.146215,0.9531
24,198400,0.230560,0.9062
24,204800,0.155510,0.9531
24,211200,0.179205,0.9375
25,0,0.095085,0.9375
25,6400,0.235335,0.8750
25,12800,0.287356,0.8906
25,19200,0.361633,0.8438
25,25600,0.355691,0.8906
25,32000,0.239070,0.9062
25,38400,0.070368,0.9688
25,44800,0.316345,0.8750
25,51200,0.186316,0.9375
25,57600,0.184807,0.9062
